,m,n,p,H,K,rec,exp,err
0,3,20,0.05,0-1-1,2,1.6349206349206347,1.9000000000000004,-0.16213592233009755
1,3,20,0.1,0-1-1,2,6.936507936507937,7.600000000000001,-0.09565217391304359
2,3,20,0.15000000000000002,0-1-1,2,12.07936507936508,17.1,-0.41563731931668846
3,3,20,0.2,0-1-1,2,29.873015873015873,30.400000000000006,-0.01764080765143472
4,3,20,0.25,0-1-1,2,44.03174603174603,47.5,-0.07876712328767121
5,3,20,0.30000000000000004,0-1-1,2,65.14285714285714,68.4,-0.050000000000000044
6,3,20,0.35000000000000003,0-1-1,2,73.53968253968254,93.10000000000002,-0.26598316425642166
7,3,20,0.4,0-1-1,2,107.41269841269842,121.60000000000002,-0.13208216344022472
8,3,20,0.45,0-1-1,2,167.17460317460316,153.9,0.07940562096467896
9,3,20,0.5,0-1-1,2,177.14285714285714,190.0,-0.07258064516129026
10,3,20,0.55,0-1-1,2,253.4126984126984,229.90000000000003,0.09278421547134341
11,3,20,0.6000000000000001,0-1-1,2,300.7936507936508,273.6,0.09040633245382579
12,3,20,0.65,0-1-1,2,339.06349206349205,321.09999999999997,0.052979729413417
13,3,20,0.7000000000000001,0-1-1,2,380.0,372.4000000000001,0.019999999999999796
14,3,20,0.75,0-1-1,2,425.4285714285714,427.5,-0.004869039623908833
15,3,20,0.8,0-1-1,2,489.11111111111114,486.4000000000001,0.005542935029531959
16,3,20,0.8500000000000001,0-1-1,2,573.8571428571428,549.1,0.04314164799601672
17,3,20,0.9,0-1-1,2,647.5079365079365,615.6,0.049278062412668855
18,3,20,0.9500000000000001,0-1-1,2,698.5714285714286,685.9,0.018139059304703498
19,3,20,1.0,0-1-1,2,805.6190476190476,760.0,0.05662607873271064
